video_path,action,hip_knee_angle,shoulder_hip_angle,shoulder_angle,elbow_angle,avg_hip_angle,avg_shoulder_angle,avg_knee_angle,score
E:\course_work\Dissertation\pose_estim\back_004_m02_20230224103425.mp4,Squat,107.8788888,91.94679339,76.90088972,162.7676346,107.1027817,91.28530567,76.34764591,2
E:\course_work\Dissertation\pose_estim\back_004_m02_20230224103440.mp4,Jump,106.821202,89.06283994,76.44836546,156.4734529,106.1891238,88.53584089,75.99600827,1
E:\course_work\Dissertation\pose_estim\back_004_m02_20230224103457.mp4,Jump,107.5638062,88.03194793,73.84852002,166.0826296,106.9079293,87.49516776,73.39822417,2
E:\course_work\Dissertation\pose_estim\back_004_m02_20230224103609.mp4,Jump,100.0810997,86.48993723,69.33124134,155.9569002,98.91736594,85.48424028,68.52506411,3
E:\course_work\Dissertation\pose_estim\back_004_m02_20230224103627.mp4,Jump,103.703277,88.72432687,70.33004834,144.3307967,102.4903732,87.68661545,69.50747468,1
E:\course_work\Dissertation\pose_estim\back_004_m02_20230224103643.mp4,Jump,106.650184,94.89168588,72.17292873,156.9032197,105.999878,94.31307804,71.7328499,3
E:\course_work\Dissertation\pose_estim\back_004_m02_20230224103659.mp4,Jump,101.1918325,81.58890962,62.39053701,155.4491147,99.99429602,80.62336039,61.65218746,2
E:\course_work\Dissertation\pose_estim\back_005_m01_20230224103935.mp4,Squat,109.8492189,90.54803227,69.95150953,159.8840182,109.8492189,90.54803227,69.95150953,1
E:\course_work\Dissertation\pose_estim\back_005_m01_20230224104003.mp4,Squat,105.215725,90.96104972,70.29247455,152.64235,105.215725,90.96104972,70.29247455,1
E:\course_work\Dissertation\pose_estim\back_005_m01_20230224104018.mp4,Squat,105.8221071,90.70718022,66.82705371,150.6499569,105.8221071,90.70718022,66.82705371,1
E:\course_work\Dissertation\pose_estim\back_005_m01_20230224104034.mp4,Squat,108.2230537,93.10368379,66.21007285,150.4237276,108.2230537,93.10368379,66.21007285,1
E:\course_work\Dissertation\pose_estim\back_005_m01_20230224104050.mp4,Squat,107.1634854,96.12478921,65.81175341,150.0955931,107.1634854,96.12478921,65.81175341,1
E:\course_work\Dissertation\pose_estim\back_005_m01_20230224104105.mp4,Squat,107.1656852,95.29192447,69.41282941,153.8624238,107.1656852,95.29192447,69.41282941,1
E:\course_work\Dissertation\pose_estim\back_005_m01_20230224104121.mp4,Squat,105.6505863,95.02890394,69.48365941,124.8784563,105.6505863,95.02890394,69.48365941,1
E:\course_work\Dissertation\pose_estim\back_005_m01_20230224104137.mp4,Squat,105.0521051,95.94215017,66.14988093,142.1574803,105.0521051,95.94215017,66.14988093,1
E:\course_work\Dissertation\pose_estim\back_005_m01_20230224104153.mp4,Squat,105.4665591,96.03493214,69.13023435,144.6237518,105.4665591,96.03493214,69.13023435,1
E:\course_work\Dissertation\pose_estim\back_005_m02_20230224104325.mp4,Squat,111.9433391,87.97765772,63.52292134,162.0071836,110.8512089,87.11933911,62.90318552,2
E:\course_work\Dissertation\pose_estim\back_005_m02_20230224104356.mp4,Jump,106.4696957,89.15249886,66.4368521,165.1467062,105.8846973,88.66264997,66.07181445,2
E:\course_work\Dissertation\pose_estim\back_005_m02_20230224104413.mp4,Squat,121.286069,82.93887607,65.32488981,165.0491228,69.20440408,47.32394694,37.2736136,3
E:\course_work\Dissertation\pose_estim\back_005_m02_20230224104429.mp4,Jump,107.088483,80.77154508,63.50912281,163.5364639,106.473032,80.3073408,63.14412786,3
E:\course_work\Dissertation\pose_estim\back_005_m02_20230224104446.mp4,Jump,110.3097916,85.88274372,67.328987,159.987103,109.0120294,84.87235849,66.53688127,3
E:\course_work\Dissertation\pose_estim\back_005_m02_20230224104503.mp4,Jump,111.4542755,89.81845548,67.15524013,146.9570215,110.8550589,89.33556056,66.79419046,1
E:\course_work\Dissertation\pose_estim\back_005_m02_20230224104521.mp4,Jump,112.5497538,81.05507973,67.35665625,160.1156787,111.9813207,80.64571064,67.01647111,3
E:\course_work\Dissertation\pose_estim\back_005_m02_20230224104539.mp4,None,nan,nan,nan,nan,0,0,0,3
E:\course_work\Dissertation\pose_estim\back_005_m02_20230224104614.mp4,Jump,103.6695076,81.16866323,64.14220582,158.442652,100.094697,78.36974381,61.93040562,3
E:\course_work\Dissertation\pose_estim\back_005_m02_20230224104632.mp4,Jump,106.540635,84.10327312,67.11223901,147.8213362,105.2722941,83.10204367,66.31328378,3
E:\course_work\Dissertation\pose_estim\back_005_m02_20230224104648.mp4,Jump,107.9537938,74.22221051,59.88672467,159.8141945,107.26619,73.74945757,59.50528057,3
E:\course_work\Dissertation\pose_estim\back_006_m01_20230224104953.mp4,Squat,138.1366374,103.0360113,75.42860531,126.8474496,138.1366374,103.0360113,75.42860531,1
E:\course_work\Dissertation\pose_estim\back_006_m01_20230224105011.mp4,None,130.6602684,108.5497505,79.25856135,126.3157989,130.6602684,108.5497505,79.25856135,1
E:\course_work\Dissertation\pose_estim\back_006_m01_20230224105051.mp4,Squat,129.4983402,110.2824645,72.71655268,127.9180545,129.4983402,110.2824645,72.71655268,1
E:\course_work\Dissertation\pose_estim\back_006_m01_20230224105107.mp4,None,119.5572527,121.3978788,80.7480697,122.8737417,119.5572527,121.3978788,80.7480697,1
E:\course_work\Dissertation\pose_estim\back_006_m01_20230224105124.mp4,None,132.8248448,113.193873,73.29810717,125.4556382,132.8248448,113.193873,73.29810717,1
E:\course_work\Dissertation\pose_estim\back_006_m01_20230224105140.mp4,None,138.1406985,108.3771833,79.00775401,136.8172586,138.1406985,108.3771833,79.00775401,1
E:\course_work\Dissertation\pose_estim\back_006_m01_20230224105155.mp4,None,114.740138,121.5652692,78.53168926,126.3872,114.740138,121.5652692,78.53168926,1
E:\course_work\Dissertation\pose_estim\back_006_m01_20230224105211.mp4,Squat,107.4115768,122.2468566,79.11258961,127.1866857,107.4115768,122.2468566,79.11258961,1
E:\course_work\Dissertation\pose_estim\back_006_m01_20230224105225.mp4,Squat,109.4864668,122.1678655,78.66112079,132.2284244,108.7044206,121.2952379,78.09925564,1
E:\course_work\Dissertation\pose_estim\back_006_m01_20230224105241.mp4,Squat,131.0589104,110.9407685,77.45141392,144.7194558,130.0808589,110.1128523,76.8734183,1
E:\course_work\Dissertation\pose_estim\back_006_m02_20230224105344.mp4,Jump,118.916417,97.22156485,68.45343176,161.093779,117.8732905,96.3687441,67.85296306,3
E:\course_work\Dissertation\pose_estim\back_006_m02_20230224105452.mp4,Jump,132.4562964,102.0915574,69.5303998,158.6344152,131.0396516,100.9996691,68.78675916,3
E:\course_work\Dissertation\pose_estim\back_006_m02_20230224105510.mp4,Jump,115.7569568,91.13334895,63.44561719,162.9319418,114.5876946,90.21281007,62.80475237,3
E:\course_work\Dissertation\pose_estim\back_006_m02_20230224105535.mp4,Jump,125.6222096,95.58313996,60.08996615,158.2058574,124.9845334,95.09794636,59.78494094,2
E:\course_work\Dissertation\pose_estim\back_006_m02_20230224105553.mp4,Jump,121.8785761,95.39000689,63.58736494,156.8131349,121.0660523,94.75407351,63.16344917,2
E:\course_work\Dissertation\pose_estim\back_006_m02_20230224105609.mp4,Jump,116.5713071,95.23139889,71.57921724,157.4632468,115.8240551,94.62094121,71.1203761,2
E:\course_work\Dissertation\pose_estim\back_006_m02_20230224105627.mp4,Jump,131.7339484,108.5164723,67.39234943,153.1825275,130.3472753,107.3741936,66.68295628,3
E:\course_work\Dissertation\pose_estim\back_006_m02_20230224105645.mp4,Jump,109.3538249,85.8322006,64.90694831,160.2041318,108.5782658,85.22346159,64.44661534,2
E:\course_work\Dissertation\pose_estim\back_006_m02_20230224105701.mp4,Jump,120.5041803,95.4500891,72.19839171,156.1515768,119.7994775,94.89190144,71.77617889,2
E:\course_work\Dissertation\pose_estim\back_006_m02_20230224105718.mp4,Jump,116.845311,97.77267913,65.89099363,154.0619379,74.88428772,62.66094353,42.22848211,3
E:\course_work\Dissertation\pose_estim\back_007_m01_20230224110016.mp4,None,135.0335566,94.37187041,76.82212908,136.8810293,135.0335566,94.37187041,76.82212908,2
E:\course_work\Dissertation\pose_estim\back_007_m01_20230224110044.mp4,Squat,131.2092225,94.66060296,78.29093738,123.4881395,131.2092225,94.66060296,78.29093738,1
E:\course_work\Dissertation\pose_estim\back_007_m01_20230224110059.mp4,None,130.0174584,93.29723254,78.42269637,132.3899015,130.0174584,93.29723254,78.42269637,2
E:\course_work\Dissertation\pose_estim\back_007_m01_20230224110113.mp4,Squat,123.8459887,93.90954922,76.1522803,123.3278719,123.8459887,93.90954922,76.1522803,2
E:\course_work\Dissertation\pose_estim\back_007_m01_20230224110128.mp4,Squat,130.9715552,98.18069919,78.21306949,120.7058344,130.9715552,98.18069919,78.21306949,2
E:\course_work\Dissertation\pose_estim\back_007_m01_20230224110142.mp4,Squat,119.0856438,89.05074109,75.41990854,132.4640097,119.0856438,89.05074109,75.41990854,2
E:\course_work\Dissertation\pose_estim\back_007_m01_20230224110157.mp4,None,118.1216079,90.08541629,76.46656681,108.3869092,118.1216079,90.08541629,76.46656681,2
E:\course_work\Dissertation\pose_estim\back_007_m01_20230224110211.mp4,None,139.3886463,95.04333305,79.49904124,109.6120476,139.3886463,95.04333305,79.49904124,2
E:\course_work\Dissertation\pose_estim\back_007_m01_20230224110226.mp4,Squat,115.9051148,90.36823951,75.31921947,118.063783,115.013537,89.6730992,74.73984086,2
E:\course_work\Dissertation\pose_estim\back_007_m02_20230224110326.mp4,Jump,115.6781571,92.46158753,70.3365648,150.2695696,115.0562316,91.96448222,69.95841122,4
E:\course_work\Dissertation\pose_estim\back_007_m02_20230224110348.mp4,Jump,107.2039441,77.36601792,60.01735284,150.3491394,106.5948307,76.92643827,59.67634515,4
E:\course_work\Dissertation\pose_estim\back_007_m02_20230224110404.mp4,Squat,121.1051234,94.88677269,72.58547084,157.642447,51.58181184,40.41473652,30.91603388,3
